,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.855 or ttFatJetParTXtauhtauevsQCDTop < 0.99
JetMET,6466.0,6313.0,3099.0,3085.0
Tau,1614.0,1602.0,446.0,446.0
EGamma,287.0,285.0,97.0,97.0
QCD Multijet,4233.33523501634,4098.9138326967,1179.6824430006081,1179.6788413604713
TT Had,81.6928929177497,77.50203864336332,37.143454044404805,37.0290784638282
TT SL,429.3600750817846,411.5737207541402,313.7714451403805,313.3470136322618
TT LL,233.5397844599517,223.77343761548778,179.3051840564757,179.06315449822176
DY+Jets,1163.178159193995,1158.2076537611592,1118.1676691459515,1108.3344339163682
W+Jets,86.09091923785037,83.61817889761028,29.3220238468744,29.31578072334294
Z+Jets,70.51848167793958,68.14858811562107,23.749807602307147,23.749807602307147
Hbb,5.830023804532534,5.666752643501794,3.789482301553202,3.430920625907625
ggF HHbb$\tau_h e$,0.09328986698798462,0.09155921041997474,0.0843160366399895,0.05205358745897354
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),1.110246864527124,1.0996202170600167,1.0410876569718812,0.459920795313684
