,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD >= 0.907,ttFatJetParTXtauhtauhvsQCDTop >= 0.99
JetMET,25661.0,24810.0,10336.0,547.0,24.0
Tau,2723.0,2695.0,1244.0,36.0,0.0
QCD Multijet,11865.915626422908,11547.305563403097,4440.561560171367,270.1376608904891,0.5476731519167514
TT Had,296.64628418345126,279.6065305116578,166.12952946657794,6.299930728740017,0.10834535344797804
TT SL,775.3791666334204,740.252780156943,331.195885744826,12.53899866526694,0.052519205779997635
TT LL,340.8953785114537,326.59999038025177,137.66916887036672,4.6119716002720255,0.25384762557785906
DY+Jets,2289.626025753225,2278.87497582414,1662.4591196573251,15.307529561991137,2.244058102577209
W+Jets,330.5226563118145,315.2782695608682,140.00306176936903,4.287292642743023,-0.07023785159143345
Z+Jets,248.64085649083256,238.88665439945967,77.20647618530612,16.505378571775584,0.5086904145273854
Hbb,11.183237760185326,10.881295128942964,4.412057518720241,1.8523234266357427,0.27291312068753637
ggF HHbb$\tau_h\tau_h$,0.3813784702747012,0.3750510065871192,0.25780738093384403,0.12470451898352694,0.1023407923413244
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),3.7213250376934153,3.692240972158628,2.9357837180660242,1.77197519340079,1.6066301365497038
