,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.855,ttFatJetParTXtauhtauevsQCDTop >= 0.99
JetMET,3000.0,2899.0,1436.0,121.0,14.0
Tau,681.0,675.0,194.0,17.0,1.0
EGamma,168.0,160.0,46.0,1.0,0.0
QCD Multijet,1909.4623229389074,1860.5687233960757,504.3348435098934,36.028577312984076,0.01791768101818557
TT Had,39.43320758777243,37.198428472805276,15.449091457393175,0.9894146923145576,0.03807727370115148
TT SL,198.49997647274535,188.09341402579477,142.00395158314217,11.921758682844292,0.09878238131993095
TT LL,108.23438124446326,103.36091658021387,82.78073750162545,4.8874149189354075,0.13478929416911656
DY+Jets,525.1971693486907,522.8664085462304,502.2375557393664,9.114872894495049,2.6633844436781233
W+Jets,40.55022166873863,37.854863912767534,12.214018429813697,-0.09647339627815539,0.0
Z+Jets,33.67465792097879,31.98577464277432,8.594858081044961,2.8771341912003896,0.21775777777921346
Hbb,2.6157090831542766,2.5746127234861005,1.8307527114026025,1.1297258753940014,0.14524961817437945
ggF HHbb$\tau_h e$,0.044008234112892605,0.04329767301114804,0.03967112004845068,0.023792514239137467,0.015074369230286828
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),0.5015596565272108,0.4965276904817649,0.47073043195020514,0.3351927991739096,0.2633538018654475
