,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD >= 0.907,ttFatJetParTXtauhtauhvsQCDTop >= 0.99
JetMET,12578.0,12229.0,5360.0,330.0,8.0
Tau,2292.0,2276.0,1071.0,38.0,0.0
QCD Multijet,7415.817856568496,7228.493953052226,3262.425806681399,207.04659658880246,0.11267014003091998
TT Had,173.83346708111242,164.95413644162883,101.3632417823463,4.818659249260584,0.2519118564955263
TT SL,478.74171979630466,457.691144053682,220.38698462324422,7.951333453627191,0.16847450993667662
TT LL,221.7627728755715,211.36408961967777,93.81153386848594,2.702692873703359,0.06876271705937782
DY+Jets,1467.9213880026207,1462.3355607465464,1082.261333836957,10.1297732345812,1.3456055563775955
W+Jets,186.75899902389287,183.3422353790992,89.63072554131378,5.2663117540940885,-0.3598697530887343
Z+Jets,143.27227393930224,139.40209879403153,47.55407448317038,16.03404670015136,-0.006834556905975089
Hbb,7.74721657846056,7.532213942092567,3.05366848201733,1.145514893870934,0.19139498578530478
ggF HHbb$\tau_h\tau_h$,0.25225054267801866,0.24924316493292328,0.17394356362715369,0.08650337179533082,0.07058983103880294
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),2.497661399983837,2.4781836329565015,1.9677268109284816,1.2136294907784948,1.1000545839174454
