,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.731,ttFatJetParTXtauhtaumvsQCDTop >= 0.979
JetMET,30445.0,29981.0,24489.0,3003.0,9.0
Tau,3534.0,3499.0,1772.0,194.0,0.0
Muon,9740.0,9620.0,7426.0,382.0,2.0
QCD Multijet,9120.03942230004,8947.159411477442,4416.056365015874,703.7818385455912,0.26109086479776483
TT Had,402.0481229598515,388.3856031099848,310.4839429177963,41.71401917018501,0.0
TT SL,18629.250658262667,18388.19573192956,17466.7483737811,1290.293935019434,0.5674728800525596
TT LL,5230.765612913013,5142.705647251549,4864.788416804915,855.7128095217639,0.9435029335679429
DY+Jets,1520.3735202352946,1503.5442348105003,1428.851427213678,72.2568318983227,6.115907520472982
W+Jets,202.5139491889235,198.455372334891,121.28328563793174,6.177122268536357,0.0
Z+Jets,153.670307086168,151.53552170116228,80.0869219841307,21.57922552497363,-0.0028652574389598355
Hbb,15.024667150270497,14.766692795942149,11.681992105502,7.320442830563842,0.11879235942678208
ggF HHbb$\tau_h \mu$,0.06236854639573483,0.061374448037011475,0.05683509063675318,0.042324342035804624,0.02340475174456885
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),0.6314788528422093,0.6257519274990401,0.5939163950352456,0.4907659743449855,0.3779202856297324
