,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.731 or ttFatJetParTXtauhtaumvsQCDTop < 0.979,ttFatJetParTXtauhtaumvsQCDTop >= 0.3
JetMET,29365.0,28682.0,23337.0,23329.0,941.0
Tau,1962.0,1939.0,967.0,966.0,145.0
Muon,5517.0,5410.0,4069.0,4068.0,145.0
QCD Multijet,8431.425711843804,8235.98380929867,3916.6031753212496,3916.588403382305,359.2379107126898
TT Had,350.0867465766687,337.63849101666847,261.50233848778015,261.50233848778015,7.744690660941095
TT SL,16055.24497576599,15831.887481087279,14953.578354774574,14953.184474221647,115.87351862073261
TT LL,4410.073274070661,4334.829647518805,4076.1237620230017,4075.549096261157,66.11753307916807
DY+Jets,1295.3904414389228,1279.2234915791048,1212.2201953698723,1209.2186188021851,470.6002237836647
W+Jets,172.09028081516593,162.45629155989897,99.45191943133212,99.45191943133212,4.4277239538851365
Z+Jets,120.83104409822037,116.09489468061878,51.55663323345023,51.36149098097809,7.109018165319217
Hbb,13.508395234790765,13.278065199927205,10.785732945468844,10.691005178950352,1.4214290279854833
ggF HHbb$\tau_h \mu$,0.053952366420892434,0.052932308982068035,0.04909386184155333,0.028602372422195994,0.016840357072668767
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),0.5417529652010106,0.535975760020264,0.5072057230002801,0.1838563375375036,0.14560924941467204
