,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.731,ttFatJetParTXtauhtaumvsQCDTop >= 0.979
JetMET,29365.0,28682.0,23337.0,2622.0,8.0
Tau,1962.0,1939.0,967.0,101.0,1.0
Muon,5517.0,5410.0,4069.0,254.0,1.0
QCD Multijet,8431.425711843804,8235.98380929867,3916.6031753212496,396.7435330613757,0.01477193894419576
TT Had,350.0867465766687,337.63849101666847,261.50233848778015,33.7777538533669,0.0
TT SL,16055.24497576599,15831.887481087279,14953.578354774574,1052.40602307546,0.3938805529226641
TT LL,4410.073274070661,4334.829647518805,4076.1237620230017,681.2073883680602,0.5746657618450496
DY+Jets,1295.3904414389228,1279.2234915791048,1212.2201953698723,63.02566044237879,3.0015765676870862
W+Jets,172.09028081516593,162.45629155989897,99.45191943133212,1.7929364303712148,0.0
Z+Jets,120.83104409822037,116.09489468061878,51.55663323345023,16.45747154823283,0.19514225247213682
Hbb,13.508395234790765,13.278065199927205,10.785732945468844,7.052699171327193,0.09472776651849682
ggF HHbb$\tau_h \mu$,0.053952366420892434,0.052932308982068035,0.04909386184155333,0.03723949677452669,0.02049148941935734
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),0.5417529652010106,0.535975760020264,0.5072057230002801,0.41773167765151026,0.3233493854627766
