,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.855 or ttFatJetParTXtauhtauevsQCDTop < 0.99
JetMET,12486.0,12091.0,5726.0,5689.0
Tau,1909.0,1895.0,540.0,540.0
EGamma,400.0,387.0,113.0,113.0
QCD Multijet,6618.707135754944,6458.481884764044,1605.4657617469143,1605.441663825729
TT Had,143.7912862079276,136.36213557221473,56.720246861586745,56.66837723864212
TT SL,654.7505861057277,624.6314501786433,473.3450178940579,473.15845267138
TT LL,351.591236241714,336.81726428823663,270.4948280459863,269.80449048917507
DY+Jets,1843.208559208508,1832.5718664585174,1760.4209948909997,1749.339553826776
W+Jets,152.80235983953747,142.44317422062812,51.50930155912326,51.50930155912326
Z+Jets,129.14857539812704,123.92391342973364,33.659119622629234,33.61380332932299
Hbb,8.334469759129833,8.135589562425839,5.258341746785588,4.774802144812384
ggF HHbb$\tau_h e$,0.13712334250317615,0.13469006532353697,0.1244428260834441,0.0759622140690043
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),1.6332942223171074,1.617582033249455,1.5339879273192276,0.6819723373315143
