,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD >= 0.907,ttFatJetParTXtauhtauhvsQCDTop >= 0.99
JetMET,6536.0,6411.0,2937.0,173.0,3.0
Tau,1541.0,1532.0,677.0,22.0,1.0
QCD Multijet,3755.4394133619935,3669.7203474309003,1419.2096778271825,82.93722152111258,0.6944564733561213
TT Had,96.78154074677421,91.54535552514116,58.166173088297995,2.747263264913099,0.005963900861840921
TT SL,264.9347230673891,253.7485292865436,122.71597670094624,4.073583122945314,0.18190560283762788
TT LL,120.49041113633768,115.66341320635249,51.69264073199178,1.0029313293423248,0.07443702604791193
DY+Jets,758.2962936153172,755.3192413938466,533.1193049403855,4.732998994184978,-0.04835314391373168
W+Jets,103.8225304786523,102.10796981785816,44.304038409948305,0.4043137533909123,0.0
Z+Jets,73.79454579606688,72.54100269515989,22.403673696914552,6.955323267592564,-0.08322785776380842
Hbb,4.073278424053038,3.9765644654788828,1.6594208310142657,0.724935434087229,0.1986650295139814
ggF HHbb$\tau_h\tau_h$,0.13506687066500095,0.13328644137116943,0.09239499080727584,0.045572666294268545,0.03749637783112793
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.3280802807667835,1.3177996834955703,1.0472174775302565,0.6396358414690747,0.5790200849384638
